19,16,0,0,5,23,24,0,1,0
18,16,0,0,5,22,24,0,1,0
17,16,0,0,5,21,24,0,1,0
16,16,0,0,5,20,24,0,1,0
15,16,0,0,5,19,24,0,1,0
14,16,0,0,5,18,24,0,1,0
13,16,0,0,5,17,24,0,1,0
12,16,0,0,5,16,24,0,1,0
11,16,0,0,5,15,24,0,1,0
11,16,0,0,5,15,24,0,1,0
10,16,0,0,5,14,24,0,1,0
9,16,0,0,5,13,24,0,1,0
8,16,0,0,5,12,24,0,1,0
7,16,0,0,5,11,24,0,1,0
6,16,0,0,5,10,24,0,1,0
5,16,0,0,5,9,24,0,1,0
4,16,0,0,5,8,24,0,1,0
3,16,0,0,5,7,24,0,1,0
2,16,0,0,5,6,24,0,1,0
1,16,0,0,5,5,24,0,1,0
0,16,0,0,5,4,24,0,0,1
15,0,0,0,4,23,25,0,1,0
14,0,0,0,4,22,25,0,1,0
13,0,0,0,4,21,25,0,1,0
12,0,0,0,4,20,25,0,1,0
11,0,0,0,4,19,25,0,1,0
10,0,0,0,4,18,25,0,1,0
9,0,0,0,4,17,25,0,1,0
8,0,0,0,4,16,25,0,1,0
7,0,0,0,4,15,25,0,1,0
6,0,0,0,4,14,25,0,1,0
5,0,0,0,4,13,25,0,1,0
4,0,0,0,4,12,25,0,1,0
3,0,0,0,4,11,25,0,1,0
2,0,0,0,4,10,25,0,1,0
1,0,0,0,4,9,25,0,1,0
0,0,14,0,4,8,25,0,0,1
0,14,1,0,8,24,21,0,0,1
13,1,0,0,24,20,0,0,1,0
13,1,0,0,24,20,0,0,1,0
12,1,0,0,24,19,0,0,1,0
11,1,0,0,24,18,0,0,1,0
11,1,0,0,24,18,0,0,1,0
10,1,0,0,24,17,0,0,1,0
9,1,0,0,24,16,5,0,1,0
8,1,0,0,24,15,5,0,1,0
7,1,0,0,24,14,5,0,1,0
7,1,0,0,24,14,5,0,1,0
6,1,0,0,24,13,5,0,1,0
5,1,0,0,24,12,5,0,1,0
4,1,0,0,24,11,5,0,1,0
3,1,0,0,24,10,5,0,1,0
2,1,0,0,24,9,5,0,1,0
1,1,0,0,24,8,5,0,1,0
0,1,0,0,24,7,5,0,0,1
0,0,13,1,7,4,22,1,0,0
0,0,0,13,25,6,4,1,0,0
12,0,0,0,0,24,6,0,1,0
11,0,0,0,23,23,6,0,1,0
10,0,0,0,23,22,6,0,1,0
9,0,0,0,23,21,6,0,1,0
8,0,0,0,23,20,6,0,1,0
7,0,0,0,23,19,6,0,1,0
6,0,0,0,23,18,6,0,1,0
5,0,0,0,23,17,6,0,1,0
4,0,0,0,23,16,6,0,1,0
3,0,0,0,23,15,6,0,1,0
2,0,0,0,23,14,6,0,1,0
1,0,0,0,23,13,6,0,1,0
0,0,17,18,23,12,6,1,0,0
17,0,0,17,17,22,12,0,1,0
16,0,0,17,17,21,12,0,1,0
15,0,0,17,17,20,12,0,1,0
14,0,0,17,17,19,12,0,1,0
13,0,0,17,17,18,12,0,1,0
12,0,0,17,17,17,12,0,1,0
11,0,0,17,17,16,12,0,1,0
11,0,0,17,17,16,12,0,1,0
10,0,0,17,17,15,12,0,1,0
10,0,0,17,17,15,12,0,1,0
10,0,0,17,17,15,12,0,1,0
10,0,0,17,17,15,12,0,1,0
9,0,0,17,17,14,12,0,1,0
9,0,0,17,17,14,12,0,1,0
9,0,0,17,17,14,12,0,1,0
9,0,0,17,17,14,12,0,1,0
9,0,0,17,17,14,12,0,1,0
8,0,0,17,17,13,12,0,1,0
7,0,0,17,17,12,12,0,1,0
6,0,0,17,17,11,12,0,1,0
5,0,0,17,17,10,12,0,1,0
4,0,0,17,17,9,12,0,1,0
3,0,0,17,17,8,12,0,1,0
2,0,0,17,17,7,12,0,1,0
1,0,0,17,17,6,12,0,1,0
0,0,0,17,17,5,12,1,0,0
16,0,0,0,24,16,5,0,1,0
15,0,0,0,24,15,5,0,1,0
14,0,0,0,24,14,5,0,1,0
13,0,0,0,24,13,5,0,1,0
12,0,0,0,24,12,5,0,1,0
11,0,0,0,24,11,5,0,1,0
10,0,0,0,24,10,5,0,1,0
9,0,0,0,24,9,5,0,1,0
8,0,0,0,24,8,5,0,1,0
7,0,0,0,24,7,5,0,1,0
6,0,0,0,24,6,5,0,1,0
5,0,0,0,24,5,5,0,1,0
4,0,0,0,24,4,5,0,1,0
3,0,0,0,24,3,5,0,1,0
2,0,0,0,24,2,5,0,1,0
